Household Income Percentile,2020,2019,Absolute Increase,Percentage Change
61.00%,"$88,938.00 ","$82,366.56 ","$6,571.44 ",7.98%
62.00%,"$90,718.00 ","$84,420.64 ","$6,297.36 ",7.46%
63.00%,"$93,002.00 ","$86,474.72 ","$6,527.28 ",7.55%
64.00%,"$95,204.00 ","$88,471.86 ","$6,732.14 ",7.61%
65.00%,"$97,628.00 ","$90,961.16 ","$6,666.84 ",7.33%
66.00%,"$100,000.00 ","$92,536.29 ","$7,463.71 ",8.07%
67.00%,"$101,960.00 ","$94,841.54 ","$7,118.46 ",7.51%
68.00%,"$104,416.00 ","$97,184.41 ","$7,231.59 ",7.44%
69.00%,"$106,731.00 ","$99,805.90 ","$6,925.10 ",6.94%
70.00%,"$109,560.00 ","$101,891.51 ","$7,668.49 ",7.53%
71.00%,"$111,800.00 ","$104,403.18 ","$7,396.82 ",7.08%
72.00%,"$115,000.00 ","$106,873.16 ","$8,126.84 ",7.60%
73.00%,"$118,000.00 ","$109,407.20 ","$8,592.80 ",7.85%
74.00%,"$120,508.00 ","$112,059.20 ","$8,448.80 ",7.54%
75.00%,"$123,580.00 ","$114,916.61 ","$8,663.39 ",7.54%
76.00%,"$126,626.00 ","$118,074.00 ","$8,552.00 ",7.24%
77.00%,"$130,350.00 ","$121,705.24 ","$8,644.76 ",7.10%
78.00%,"$134,212.00 ","$124,363.34 ","$9,848.66 ",7.92%
79.00%,"$138,229.00 ","$128,125.77 ","$10,103.23 ",7.89%
80.00%,"$142,400.00 ","$132,193.25 ","$10,206.75 ",7.72%
81.00%,"$147,076.00 ","$135,856.02 ","$11,219.98 ",8.26%
82.00%,"$151,212.00 ","$140,328.22 ","$10,883.78 ",7.76%
83.00%,"$155,769.00 ","$144,539.08 ","$11,229.92 ",7.77%
84.00%,"$160,522.00 ","$149,581.75 ","$10,940.25 ",7.31%
85.00%,"$166,285.00 ","$153,673.64 ","$12,611.36 ",8.21%
86.00%,"$172,104.00 ","$159,080.34 ","$13,023.66 ",8.19%
87.00%,"$178,051.00 ","$165,244.62 ","$12,806.38 ",7.75%
88.00%,"$185,005.00 ","$171,851.23 ","$13,153.77 ",7.65%
89.00%,"$192,490.00 ","$178,813.74 ","$13,676.26 ",7.65%
90.00%,"$200,968.00 ","$187,307.67 ","$13,660.33 ",7.29%
91.00%,"$210,315.00 ","$197,314.70 ","$13,000.30 ",6.59%
92.00%,"$221,399.00 ","$207,041.07 ","$14,357.93 ",6.93%
93.00%,"$234,322.00 ","$219,817.04 ","$14,504.96 ",6.60%
94.00%,"$250,590.00 ","$235,075.19 ","$15,514.81 ",6.60%
95.00%,"$270,358.00 ","$252,493.18 ","$17,864.82 ",7.08%
96.00%,"$295,532.00 ","$276,588.96 ","$18,943.04 ",6.85%
97.00%,"$329,352.00 ","$310,655.16 ","$18,696.84 ",6.02%
98.00%,"$387,116.00 ","$365,232.67 ","$21,883.33 ",5.99%
99.00%,"$531,020.00 ","$483,131.76 ","$47,888.24 ",9.91%
